Test Number,Days Survived,Max Vegetation
1,42,655
2,39,1200
3,32,805
4,73,1463
5,58,564
6,104,304
7,102,1020
8,133,991
9,53,445
10,32,304
11,204,1278
12,64,1261
13,31,218
14,82,3645
15,34,556
16,42,304
17,94,512
18,132,2380
19,162,740
20,89,1499
21,176,1893
22,57,1436
23,177,1391
24,39,1049
25,125,835
26,80,1219
27,52,1029
28,99,800
29,63,1094
30,29,669
31,352,2654
32,226,1577
33,33,647
34,50,926
35,110,1081
36,33,1200
37,163,877
38,59,481
39,127,1498
40,106,1950
41,41,2044
42,295,2268
43,156,1016
44,180,759
45,23,218
46,62,769
47,299,2533
48,132,930
49,38,289
50,78,2176
